requirement_id	phase
ACC-000	01
ACC-001	01
ACC-002	01
ACC-003	01
ACC-004	01
ACC-005	01
ACC-006	01
ACC-007	01
ACC-008	01
ACC-009	01
ACC-010	02
ACC-011	02
ACC-012	02
ACC-013	02
ACC-014	02
ACC-015	02
ACC-016	02
ACC-017	02
ACC-018	02
ACC-019	02
ACC-020	02
ACC-021	02
ACC-022	02
ACC-023	02
ACC-024	02
ACC-025	02
ACC-026	02
ACC-027	02
ACC-028	02
ACC-029	02
ACC-030	02
ACC-031	02
ACC-032	02
ACC-033	02
ACC-034	02
ACC-035	03
ACC-036	03
ACC-037	04
ACC-038	04
ACC-039	04
ACC-040	04
ACC-041	04
ACC-042	04
ACC-043	06
ACC-044	06
ACC-045	13
ACC-046	06
ACC-047	06
ACC-048	06
ACC-049	06
ACC-050	06
ACC-051	06
ACC-052	06
ACC-053	06
ACC-054	06
ACC-055	06
ACC-056	06
ACC-057	06
ACC-058	06
ACC-059	06
ACC-060	06
ACC-061	06
ACC-062	06
ACC-063	01
ACC-064	05
ACC-065	05
ACC-066	05
ACC-067	05
ACC-068	03
ACC-069	03
ACC-070	03
ACC-071	03
ACC-072	05
ACC-073	05
ACC-074	05
ACC-075	05
ACC-076	12
ACC-077	12
ACC-078	08
ACC-079	13
ACC-080	05
ACC-081	09
ACC-082	11
ACC-083	05
ACC-084	05
ACC-085	05
ACC-086	07
ACC-087	12
ACC-088	02
ACC-089	05
ACC-090	12
ACC-091	04
ACC-092	04
ACC-093	04
ACC-094	04
ACC-095	04
ACC-096	04
ACC-097	04
ACC-098	04
ACC-099	04
ACC-100	04
ACC-101	04
ACC-102	04
ACC-103	04
ACC-104	04
ACC-105	04
ACC-106	04
ACC-107	04
ACC-108	04
ACC-109	04
ACC-110	04
ACC-111	04
ACC-112	04
ACC-113	04
ACC-114	05
ACC-115	05
ACC-116	05
ACC-117	05
ACC-118	05
ACC-119	05
AGNT-001	09
AGNT-002	04
AGNT-003	04
AGNT-004	07
AGNT-005	09
AGNT-006	09
AGNT-007	08
AGNT-008	08
AGNT-009	08
AGNT-010	05
AGNT-011	08
AGNT-012	05
AGNT-013	05
AGNT-014	08
AGNT-015	08
ARCH-001	06
ARCH-002	06
ARCH-003	06
ARCH-004	06
ARCH-005	06
ARCH-006	06
ARCH-007	06
ARCH-008	06
ARCH-009	06
ARCH-010	06
ARCH-011	06
ARCH-012	06
ARCH-013	06
ARCH-014	06
ARCH-015	06
ARCH-016	06
ARCH-017	06
ARCH-018	06
ARCH-019	06
ARCH-020	06
ARCH-021	06
ARCH-022	06
ARCH-023	06
ARCH-024	06
ARCH-025	06
ARCH-026	06
ARCH-027	06
ARCH-028	06
ARCH-029	06
ARCH-030	06
ARCH-031	06
ARCH-032	05
ARCH-033	05
ARCH-034	05
ARCH-035	05
ARCH-036	06
ARCH-037	06
ARCH-038	11
ARCH-039	06
ARCH-040	12
ARCH-041	06
BENCH-001	14
BENCH-002	14
BENCH-003	14
BENCH-004	14
BENCH-005	14
BENCH-006	14
BENCH-007	14
BENCH-008	14
BENCH-009	14
BENCH-010	14
BENCH-011	14
BENCH-012	14
BENCH-013	14
BENCH-014	14
BENCH-015	14
BENCH-016	14
BENCH-017	14
BENCH-018	14
BENCH-019	14
BENCH-020	14
BENCH-021	14
BENCH-022	14
BENCH-023	14
BENCH-024	14
BENCH-025	14
BENCH-026	14
BENCH-027	14
BENCH-028	14
BENCH-029	14
BENCH-030	14
BENCH-031	14
BENCH-032	14
BENCH-033	14
BENCH-034	14
BENCH-035	14
BENCH-036	14
BENCH-037	14
BENCH-038	14
BENCH-039	14
BENCH-040	14
BENCH-041	14
BENCH-042	14
BENCH-043	14
BENCH-044	14
BENCH-045	14
BENCH-046	14
BENCH-047	14
BENCH-048	14
BENCH-049	14
BENCH-050	14
CAPS-001	09
CAPS-002	09
CAPS-003	08
CAPS-004	08
CAPS-005	09
CAPS-006	09
CAPS-007	04
CAPS-008	04
CAPS-009	04
CAPS-010	04
CAPS-011	09
CAPS-012	09
CAPS-013	10
CAPS-014	09
CAPS-015	09
CAPS-016	09
CAPS-017	04
CERT-001	09
CERT-002	09
CERT-003	09
CERT-004	09
CERT-005	09
CERT-006	09
CERT-007	12
CERT-008	14
CHNG-001	04
CHNG-002	09
CHNG-003	04
CHNG-004	04
CHNG-005	04
CHNG-006	04
CHNG-007	04
CHNG-008	04
CHNG-009	04
CHNG-010	04
CHNG-011	07
CHNG-012	04
CHNG-013	04
CHNG-014	04
CHNG-015	04
CHNG-016	05
CHNG-017	04
CHNG-018	04
CHNG-019	09
CHNG-020	04
CHNG-021	09
CHNG-022	05
CHNG-023	09
CHNG-024	07
CHNG-025	09
CHNG-026	09
CHNG-027	05
CHNG-028	06
CHNG-029	06
CHNG-030	06
CHNG-031	06
CHNG-032	06
CHNG-033	06
CHNG-034	06
CHNG-035	07
CHNG-036	07
CHNG-037	07
CHNG-038	07
CHNG-039	07
CHNG-040	07
CHNG-041	09
CHNG-042	09
CHNG-043	09
CHNG-048	07
CHNG-049	09
CLI-001	01
CLI-002	01
CLI-003	12
CLI-004	04
CLI-005	04
CLI-006	04
CLI-007	04
CLI-008	04
CLI-009	04
CLI-010	03
CLI-011	08
CLI-012	08
CLI-013	05
CLI-014	12
CLI-015	12
CLI-016	04
CLI-017	09
CLI-018	09
CLI-019	09
CLI-020	09
CLI-021	11
CLI-022	05
CLI-023	05
CLI-024	05
CLI-025	06
CLI-026	06
CLI-027	06
CLI-028	06
CLI-029	06
CLI-030	06
CLI-031	10
CLI-032	10
CLI-033	10
CLI-034	12
CLI-035	12
CLI-036	09
CLI-037	09
CLI-038	09
CLI-039	09
CLI-040	09
CLI-041	09
CLI-042	09
CLI-043	09
CLI-044	09
CLI-045	09
CLI-046	09
CLI-047	09
CLI-048	09
CLI-049	09
CLI-050	09
CLI-051	09
CLI-052	09
CLI-053	09
CLI-054	09
CLI-055	09
CLI-056	09
CORE-001	14
CORE-002	01
CORE-003	01
CORE-004	09
CORE-005	14
CORE-006	01
CORE-007	14
CORE-008	14
COVR-001	08
COVR-002	08
COVR-003	08
COVR-004	08
COVR-005	08
COVR-006	08
COVR-007	08
COVR-008	08
COVR-009	08
COVR-010	08
COVR-011	08
COVR-012	08
COVR-013	08
COVR-014	08
COVR-015	08
COVR-016	08
COVR-017	08
COVR-018	08
COVR-019	08
COVR-020	08
COVR-021	08
COVR-022	08
COVR-023	08
COVR-024	08
COVR-025	08
COVR-026	08
DELV-001	01
DELV-002	01
DELV-003	01
DELV-004	01
DELV-005	01
DELV-006	01
DELV-007	01
DELV-008	14
DELV-009	14
DELV-010	14
DOG-001	14
DOG-002	14
DOG-003	14
DOG-004	14
DOG-005	14
DOG-006	14
DOG-007	14
DOG-008	14
DOG-009	14
DOG-010	14
DOG-011	14
DOG-012	14
DOG-013	14
DOG-014	14
DOG-015	14
DOG-016	14
DOG-017	14
EVAL-002	14
EVAL-003	14
EVAL-004	01
EVAL-005	03
EVAL-006	07
EVAL-007	09
EVAL-008	05
EVAL-009	05
EVAL-010	05
EVAL-011	08
EVAL-012	06
EVAL-013	03
EVAL-014	09
EVAL-015	08
EVAL-016	11
EVAL-017	03
EVAL-018	03
EVAL-019	07
EVAL-020	07
EVAL-021	07
EVAL-022	04
EVAL-023	04
EVAL-024	04
EVAL-025	07
EVAL-026	03
EVAL-027	03
EVAL-028	03
EVAL-029	03
EVAL-030	08
EVAL-031	04
EVAL-032	05
EVAL-033	05
EVAL-034	05
EVAL-035	05
EVAL-036	10
EVAL-037	10
EVAL-038	10
EVAL-039	10
EVAL-040	10
EVAL-041	09
EVAL-042	10
EVAL-043	10
EVAL-044	10
EVAL-045	10
EVAL-046	10
EVAL-047	10
EVAL-048	07
EVAL-049	11
EVAL-050	09
EVAL-051	02
EVAL-052	07
EVAL-053	13
EVAL-054	04
EVAL-055	03
EVAL-056	05
EVAL-057	09
EVAL-058	06
EVAL-059	11
EVAL-060	05
EVAL-061	05
EVAL-062	04
EVAL-063	04
EVAL-064	07
EVAL-065	03
EVAL-066	04
EVID-001	01
EVID-002	01
EVID-003	01
EVID-004	05
EVID-005	01
EVID-006	01
EVID-007	01
EVID-008	01
EVID-009	01
EVID-010	01
EVID-011	01
EVID-012	01
EVOL-001	11
EVOL-002	11
EVOL-003	11
EVOL-004	11
EVOL-005	11
EVOL-006	11
EVOL-007	11
EVOL-008	03
EVOL-009	03
EVOL-010	03
EVOL-011	03
EVOL-012	03
EVOL-013	03
EVOL-014	03
EVOL-015	03
GOV-001	01
GOV-002	01
GOV-003	01
GOV-004	01
GOV-005	01
GOV-006	12
GOV-007	07
GOV-008	04
GOV-009	03
GOV-010	03
GOV-011	03
GOV-012	03
GOV-013	09
GOV-014	03
GOV-015	03
GOV-016	03
GOV-017	08
GOV-018	08
GOV-019	08
HANDOFF-001	14
HANDOFF-002	14
HANDOFF-003	14
HANDOFF-004	14
HANDOFF-005	14
HANDOFF-006	14
HANDOFF-007	14
HANDOFF-008	14
HOST-001	10
HOST-002	10
HOST-003	10
HOST-004	10
HOST-005	10
HOST-006	10
HOST-007	10
HOST-008	10
HOST-009	10
HOST-010	10
HOST-011	10
HOST-012	10
HOST-013	10
HOST-014	10
HOST-015	10
INVAL-001	03
INVAL-002	03
INVAL-003	04
INVAL-004	04
INVAL-005	03
INVAL-006	03
INVAL-007	03
INVAL-008	03
INVAL-009	07
INVAL-010	03
INVAL-011	03
INVAL-012	03
INVAL-013	03
INVAL-014	03
INVAL-015	03
INVAL-016	03
INVAL-017	03
INVAL-018	12
INVAL-019	12
INVAL-020	08
INVAL-021	08
INVAL-022	08
INVAL-023	14
INVAL-024	08
KERN-001	01
KERN-002	01
KERN-003	01
KERN-004	01
KERN-005	01
KERN-006	01
KERN-007	01
KERN-008	01
KERN-009	04
KERN-010	04
KERN-011	04
KERN-012	01
KERN-013	01
KERN-014	01
KERN-015	01
KERN-016	01
KERN-017	01
KERN-018	01
KERN-019	09
KERN-020	01
KERN-021	05
KERN-022	03
KERN-023	06
KERN-024	09
KERN-025	05
KERN-026	05
KERN-027	06
KERN-028	06
KERN-029	06
KERN-030	06
KERN-031	06
KERN-032	01
KERN-033	05
KERN-034	05
KERN-035	05
KERN-036	05
KERN-037	05
KERN-038	12
KERN-039	01
KERN-040	02
KERN-041	02
KERN-042	01
KERN-043	01
KERN-044	03
KERN-045	01
KERN-046	01
KERN-047	01
KERN-048	09
KERN-049	01
KERN-050	01
KERN-051	01
KERN-052	01
KERN-053	01
KERN-054	01
KERN-055	14
KERN-056	13
KILL-001	14
KILL-002	14
KILL-003	14
KILL-004	14
KILL-005	14
KILL-006	14
KILL-007	14
KILL-008	14
KILL-009	14
KILL-010	14
KILL-011	14
KILL-012	14
KILL-013	14
KILL-014	14
KILL-015	14
KILL-016	14
KILL-017	14
KILL-018	14
KILL-019	14
KILL-020	14
KILL-021	14
KILL-022	14
KILL-023	14
KNOW-001	04
KNOW-002	04
KNOW-003	04
KNOW-004	04
KNOW-005	04
KNOW-006	04
KNOW-007	04
KNOW-008	04
KNOW-009	04
KNOW-010	01
KNOW-011	04
KNOW-012	04
KNOW-013	01
KNOW-014	01
KNOW-015	04
KNOW-016	04
KNOW-017	04
KNOW-018	04
KNOW-019	04
KNOW-020	04
KNOW-021	04
KNOW-022	04
KNOW-023	06
